wavelength,flux,model,sky
3803.645,61.487,71.814,0
3804.521,61.474,70.43,0
3805.397,61.46,70.826,0
3806.274,61.447,70.889,0
3807.15,61.434,70.89,0
3808.027,61.42,71.209,16.086
3808.904,61.407,71.463,16.254
3809.781,65.319,71.382,16.45
3810.658,61.807,71.923,16.441
3811.536,56.627,70.444,16.316
3812.414,64.428,70.457,16.155
3813.291,61.292,70.972,15.853
3814.17,65.952,69.588,12.715
3815.048,64.874,69.116,12.318
3815.926,56.807,69.529,12.372
3816.805,53.31,69.687,12.126
3817.684,59.394,69.812,11.62
3818.563,70.967,69.559,13.224
3819.443,67.856,69.061,12.721
3820.322,69.944,69.71,12.183
3821.202,53.863,69.42,11.7
3822.082,55.463,69.298,9.267
3822.962,59.894,69.207,8.947
3823.843,63.594,69.083,8.659
3824.723,64.998,69.406,8.474
3825.604,58.186,70.257,8.418
3826.485,59.436,69.607,8.351
3827.366,72.775,68.474,8.433
3828.247,55.516,68.766,8.362
3829.129,59.465,69.537,8.917
3830.011,59.27,69.337,9.19
3830.893,58.312,69.161,9.345
3831.775,62.94,68.198,9.593
3832.657,65.044,68.123,9.688
3833.54,63.574,68.406,9.346
3834.423,67.874,68.628,8.922
3835.306,69.078,68.838,8.724
3836.189,56.446,68.922,8.353
3837.072,71.897,69.092,8.34
3837.956,68.989,67.644,7.577
3838.84,67.9,67.201,7.338
3839.724,64.17,68.607,7.162
3840.608,66.274,70.038,7.164
3841.493,68.53,69.507,7.674
3842.377,62.607,67.677,8.707
3843.262,68.965,68.894,9.798
3844.147,71.155,69.626,10.489
3845.032,67.456,68.741,10.966
3845.918,59.099,68.37,11.086
3846.803,63.624,69.167,11.617
3847.689,70.014,68.396,11.852
3848.575,71.074,68.673,11.462
3849.462,66.604,68.635,10.869
3850.348,64.045,68.428,10.62
3851.235,66.026,68.766,10.718
3852.122,61.824,68.165,10.746
3853.009,64.636,67.569,11.091
3853.896,69.12,68.154,11.32
3854.784,66.735,67.714,10.932
3855.671,67.269,67.842,10.262
3856.559,64.478,69.249,9.705
3857.447,65.792,67.354,9.483
3858.336,68.306,67.436,9.148
3859.224,63.85,68.631,8.322
3860.113,65.876,68.256,7.332
3861.002,63.641,67.119,7.151
3861.891,60.456,67.272,8.277
3862.78,68.422,67.799,9.959
3863.67,71.256,66.963,11.301
3864.56,69.955,67.052,11.841
3865.449,64.015,66.962,11.197
3866.34,63.256,67.134,10.231
3867.23,69.091,67.789,9.811
3868.121,66.851,66.714,9.93
3869.011,60.575,67.248,9.978
3869.902,65.381,67.05,9.586
3870.793,69.856,66.841,8.653
3871.685,63.239,66.794,8.045
3872.576,63.629,66.642,7.756
3873.468,65.028,66.999,7.947
3874.36,65.338,66.466,8.714
3875.252,67.769,65.936,9.927
3876.145,68.391,66.769,11.168
3877.037,63.878,67.438,11.42
3877.93,63.355,66.765,10.588
3878.823,64.448,67.043,9.015
3879.717,66.249,66.714,8.388
3880.61,64.421,65.153,8.777
3881.504,64.947,64.785,9.084
3882.398,65.378,65.789,9.032
3883.292,60.967,66.146,9.257
3884.186,58.227,65.027,9.801
3885.08,63.439,65.505,9.95
3885.975,66.643,65.581,9.611
3886.87,64.717,65.987,9.137
3887.765,68.549,66.212,8.99
3888.66,62.651,65.64,9.254
3889.556,63.637,65.69,9.465
3890.451,65.146,64.927,9.723
3891.347,64.059,65.58,10.105
3892.243,63.122,65.82,10.832
3893.14,61.414,65.116,11.559
3894.036,59.853,64.688,11.473
3894.933,62.994,64.891,11.391
3895.83,60.534,64.273,11.553
3896.727,62.56,64.146,12.129
3897.625,60.319,64.623,12.224
3898.522,62.549,64.511,11.955
3899.42,64.961,63.616,11.887
3900.318,62.14,63.786,12.259
3901.216,60.881,63.544,12.586
3902.114,62.034,62.241,12.356
3903.013,55.757,62.238,12.248
3903.912,59.125,63.164,11.857
3904.811,56.779,63.09,12.307
3905.71,62.816,62.381,12.48
3906.609,62.725,62.746,12.639
3907.509,58.356,62.037,12.713
3908.409,59.334,61.727,13.536
3909.309,59.41,61.986,14.776
3910.209,57.495,61.937,15.586
3911.11,61.768,61.911,15.82
3912.01,59.983,61.329,15.536
3912.911,57.801,60.896,15.895
3913.812,67.5,61.088,16.281
3914.714,62.867,61.709,16.379
3915.615,58.312,62.151,16.046
3916.517,55.016,61.959,15.111
3917.419,58.797,61.466,14.339
3918.321,62.179,61.738,13.721
3919.223,57.072,61.411,12.86
3920.126,58.795,60.891,11.853
3921.029,66.004,61.145,10.687
3921.931,60.331,61.053,10.249
3922.835,61.254,60.522,10.88
3923.738,56.922,60.66,11.397
3924.642,54.103,60.387,11.32
3925.545,56.774,60.119,10.942
3926.449,59.901,60.718,10.38
3927.354,60.692,61.079,9.689
3928.258,58.792,60.793,8.9
3929.163,56.338,60.662,7.827
3930.067,59.948,60.298,7.008
3930.972,58.711,60.503,6.363
3931.878,56.202,61.318,5.869
3932.783,57.088,60.621,5.239
3933.689,58.051,61.234,4.296
3934.595,56.949,60.731,3.515
3935.501,58.367,60.751,3.289
3936.407,60.048,61.207,3.83
3937.314,58.181,60.77,5.095
3938.22,59.796,60.078,6.641
3939.127,60.986,59.832,7.691
3940.034,56.275,60.615,8.486
3940.942,62.667,60.474,9.398
3941.849,62.47,60.035,9.976
3942.757,61.901,60.708,10.431
3943.665,65.258,61.058,10.298
3944.573,66.135,60.553,9.766
3945.481,63.414,60.812,9.764
3946.39,62.104,61.08,10.676
3947.299,61.332,61.345,11.488
3948.208,65.645,61.388,11.828
3949.117,63.739,59.818,11.549
3950.026,60.067,59.866,11.961
3950.936,65.631,60.314,12.559
3951.846,64.567,60.086,13.105
3952.756,59.412,60.128,12.87
3953.666,57.436,60.557,12.152
3954.577,58.247,59.226,11.932
3955.487,58.27,59.743,12.178
3956.398,52.639,59.337,12.356
3957.309,60.242,59.099,12.288
3958.221,58.134,59.056,12.014
3959.132,57.749,59.057,12.298
3960.044,55.819,60.494,12.408
3960.956,55.605,59.589,11.771
3961.868,56.542,59.398,10.362
3962.78,59.301,59.992,8.904
3963.693,59.981,59.923,8.114
3964.606,54.708,59.004,7.863
3965.519,57.617,59.162,7.821
3966.432,57.027,59.81,7.142
3967.345,56.049,59.201,5.958
3968.259,53.212,58.714,4.592
3969.173,53.308,58.782,3.934
3970.087,55.529,58.866,4.012
3971.001,56.372,58.997,4.705
3971.915,58.808,58.494,5.763
3972.83,61.135,58.738,7.009
3973.745,55.198,58.817,8.297
3974.66,54.017,58.736,9.441
3975.575,55.441,59.079,10.03
3976.491,54.419,59.1,10.436
3977.407,55.571,57.921,11.068
3978.323,61.123,58.016,11.703
3979.239,58.986,58.745,12.257
3980.155,55.999,59.173,13.01
3981.072,57.692,59.039,14.086
3981.988,57.73,58.549,14.886
3982.905,57.892,58.797,14.153
3983.823,60.671,58.215,12.867
3984.74,51.674,58.152,13.082
3985.658,53.016,58.973,14.043
3986.576,55.817,59.349,13.938
3987.494,57.874,58.412,13.721
3988.412,58.2,58.563,14.516
3989.33,54.747,58.007,15.386
3990.249,52.824,57.988,15.28
