wavelength,flux,model,sky
3806.274,128.939,141.581,0
3807.15,128.894,140.174,0
3808.027,128.848,140.699,0
3808.904,128.803,141.197,0
3809.781,128.758,140.081,0
3810.658,128.713,139.217,0
3811.536,128.667,140,0
3812.414,128.622,140.32,0
3813.291,128.578,140.568,0
3814.17,128.533,140.055,0
3815.048,128.488,139.437,0
3815.926,128.443,139.787,0
3816.805,128.399,138.779,0
3817.684,128.354,139.639,0
3818.563,128.309,140.95,0
3819.443,128.265,140.303,0
3820.322,128.221,138.486,0
3821.202,128.176,138.084,0
3822.082,128.132,137.941,7.864
3822.962,128.088,138.372,9.601
3823.843,142.28,138.865,9.08
3824.723,132.741,137.68,8.577
3825.604,126.317,136.627,8.413
3826.485,127.298,138.094,8.473
3827.366,122.528,136.723,8.63
3828.247,122.243,135.963,9.166
3829.129,135.859,137.248,9.99
3830.011,127.537,138.249,10.77
3830.893,127.162,137.609,11.629
3831.775,131.02,136.613,12.187
3832.657,118.362,136.662,11.825
3833.54,124.181,136.582,11.044
3834.423,140.73,135.396,9.83
3835.306,133.414,135.184,8.698
3836.189,124.879,135.491,8.265
3837.072,135.193,133.9,8.164
3837.956,127.779,133.026,8.327
3838.84,130.616,134.217,8.556
3839.724,123.833,134.429,8.449
3840.608,121.816,134.847,8.376
3841.493,121.919,135.902,8.608
3842.377,129.709,135.412,9.373
3843.262,130.364,133.405,10.354
3844.147,131.563,134.994,11.252
3845.032,130.011,133.524,11.838
3845.918,123.17,133.609,11.906
3846.803,130.489,135.639,11.082
3847.689,121.49,133.901,10.332
3848.575,124.027,133.219,10.078
3849.462,132.794,133.583,10.418
3850.348,134.093,133.703,10.805
3851.235,128.587,134.11,10.966
3852.122,132.594,134.934,11.074
3853.009,132.152,134.761,10.969
3853.896,127.923,132.761,10.676
3854.784,132.562,133.665,10.352
3855.671,125.213,133.361,10.312
3856.559,128.504,134.641,10.082
3857.447,132.992,135.874,9.408
3858.336,138.448,132.967,8.452
3859.224,139.811,134.81,7.652
3860.113,132.546,134.851,7.267
3861.002,130.13,135.411,7.593
3861.891,135.185,135.741,8.401
3862.78,139.657,135.403,9.412
3863.67,142.216,135.267,10.244
3864.56,147.661,133.887,10.799
3865.449,156.857,134.872,11.144
3866.34,130.89,135.415,10.734
3867.23,136.733,134.434,10.432
3868.121,141.308,134.117,9.827
3869.011,146.018,135.696,9.289
3869.902,146.919,134.543,8.979
3870.793,146.271,136.636,8.59
3871.685,143.562,136.679,8.098
3872.576,137.308,136.525,7.806
3873.468,141.268,137.012,7.98
3874.36,143.411,134.973,8.775
3875.252,137.479,131.784,10.11
3876.145,129.726,133.997,11.415
3877.037,128.793,133.01,12.075
3877.93,131.057,132.001,11.943
3878.823,139.593,133.555,10.821
3879.717,140.738,134.266,9.387
3880.61,136.096,133.895,8.236
3881.504,142.464,131.814,8.211
3882.398,134.553,129.714,8.387
3883.292,113.695,129.215,9.066
3884.186,132.57,131.017,9.44
3885.08,133.796,133.257,9.385
3885.975,131.22,131.314,9.267
3886.87,124.41,131.102,9.351
3887.765,129.685,133.163,9.925
3888.66,132.091,132.123,12.348
3889.556,125.353,129.791,13.484
3890.451,130.037,131.824,12.829
3891.347,130.716,130.805,11.484
3892.243,125.134,130.401,10.48
3893.14,135.914,130.812,9.957
3894.036,137.817,130.693,9.881
3894.933,138.044,130.447,9.844
3895.83,131.434,131.363,10.075
3896.727,131.557,131.758,11.074
3897.625,136.987,131.736,11.915
3898.522,133.715,131.206,12.333
3899.42,126.14,130.162,12.015
3900.318,125.949,130.09,11.217
3901.216,127.097,131.663,10.932
3902.114,135.534,130.534,10.831
3903.013,119.925,128.428,10.971
3903.912,126.491,129.892,11.447
3904.811,136.009,131.403,11.409
3905.71,132.629,130.482,11.7
3906.609,125.063,129.511,12.538
3907.509,123.356,129.947,13.792
3908.409,127.833,129.047,14.749
3909.309,132.513,128.361,15.26
3910.209,132.85,129.322,15.205
3911.11,137.933,131.023,15.33
3912.01,134.477,131.6,15.759
3912.911,133.734,131.361,16.465
3913.812,132.389,127.786,16.809
3914.714,124.744,127.577,16.477
3915.615,119.774,129.543,15.317
3916.517,125.217,130.053,13.829
3917.419,131.334,128.483,12.425
3918.321,129.465,127.492,12.256
3919.223,131.061,129.584,12.947
3920.126,130.325,129.603,12.672
3921.029,134.322,128.821,11.21
3921.931,125.804,128.939,10.067
3922.835,122.42,129.116,9.937
3923.738,125.107,129.685,10.382
3924.642,131.169,129.55,10.515
3925.545,130.409,129.18,10.029
3926.449,124.562,129.573,9.368
3927.354,131.807,130.002,8.698
3928.258,124.533,129.487,8.226
3929.163,134.529,130.293,8.005
3930.067,124.077,129.066,7.872
3930.972,130.066,129.532,7.493
3931.878,128.878,129.964,6.756
3932.783,129.179,129.567,5.851
3933.689,124.965,129.888,5.062
3934.595,115.003,128.856,4.627
3935.501,119.835,129.487,4.81
3936.407,136.081,130.156,5.376
3937.314,132.118,130.376,6.206
3938.22,124.295,130.448,6.982
3939.127,132.994,130.522,7.776
3940.034,127.123,130.431,8.695
3940.942,132.995,128.938,9.662
3941.849,135.761,130.195,10.112
3942.757,140.313,131.952,10.401
3943.665,137.72,132.124,10.593
3944.573,126.493,131.597,10.84
3945.481,128.749,130.141,11.083
3946.39,130.421,129.292,11.209
3947.299,137.792,131.846,11.179
3948.208,135.832,132.543,11.352
3949.117,132.878,130.322,11.355
3950.026,128.165,130.216,11.451
3950.936,129.854,131.348,12.092
3951.846,126.923,130.493,12.835
3952.756,126.362,130.23,13.176
3953.666,133.373,130.841,12.854
3954.577,132.949,131.435,12.49
3955.487,127.4,132.053,12.233
3956.398,126.845,133.436,12.014
3957.309,140.323,131.906,11.874
3958.221,134.264,133.493,11.537
3959.132,130.823,134.601,11.224
3960.044,133.115,133.86,11.01
3960.956,143.674,134.995,10.624
3961.868,153.489,135.742,9.886
3962.78,158.838,136.733,9.14
3963.693,162.731,137.374,8.259
3964.606,160.252,137.565,7.865
3965.519,160.391,138.155,7.377
3966.432,149.393,138.635,6.713
3967.345,136.509,135.07,5.809
3968.259,136.269,133.136,4.862
3969.173,128.222,133.23,4.304
3970.087,123.808,132.871,4.033
3971.001,125.513,131.135,4.428
3971.915,130.374,129.396,5.377
3972.83,132.787,128.447,6.852
3973.745,122.679,127.17,8.189
3974.66,118.93,126.144,8.858
3975.575,125.792,127.308,9.064
3976.491,123.39,128.629,9.359
3977.407,122.654,127.135,9.924
