wavelength,flux,model,sky
3791.403,45.671,61.237,9.943
3792.277,52.278,58.671,9.446
3793.15,54.95,58.658,9.031
3794.023,52.043,60.126,8.633
3794.897,55.516,60.541,8.242
3795.771,53.757,59.149,7.86
3796.645,43.606,58.251,7.367
3797.519,51.144,58.972,7.161
3798.394,57.977,59.699,6.873
3799.269,43.167,58.943,6.489
3800.144,51.244,61.485,6.225
3801.019,56.744,60.426,6.313
3801.894,53.897,61.018,6.13
3802.769,61.003,63.514,6.041
3803.645,51.326,62.328,5.86
3804.521,49.008,62.679,5.841
3805.397,53.094,60.618,5.756
3806.274,62.397,59.803,5.712
3807.15,53.652,61.148,5.651
3808.027,51.833,61.756,5.643
3808.904,54.204,59.35,5.667
3809.781,53.079,58.07,5.727
3810.658,50.735,59.738,5.835
3811.536,47.863,58.846,5.981
3812.414,47.711,58.188,6.157
3813.291,54.173,59.172,6.374
3814.17,55.564,59.432,6.706
3815.048,55.584,59.9,6.987
3815.926,57.753,58.658,7.419
3816.805,57.723,58.853,7.843
3817.684,54.092,60.238,7.96
3818.563,51.261,60.712,7.525
3819.443,52.594,58.896,6.567
3820.322,54.202,56.411,5.697
3821.202,51.117,58.684,5.35
3822.082,58.824,57.757,5.67
3822.962,52.328,56.343,6.131
3823.843,54.139,57.164,6.1
3824.723,54.491,57.838,5.689
3825.604,54.576,57.28,5.488
3826.485,59.072,56.866,5.606
3827.366,58.4,55.985,6.588
3828.247,54.564,55.901,8.514
3829.129,56.662,56.946,10.712
3830.011,52.443,57.32,11.932
3830.893,51.621,55.79,12.087
3831.775,55.853,57.166,11.645
3832.657,54.32,58.386,11.131
3833.54,52.989,56.816,10.625
3834.423,55.194,54.757,9.968
3835.306,54.367,55.559,9.127
3836.189,50.235,55.732,8.358
3837.072,51.137,56.394,7.838
3837.956,52.546,57.577,7.475
3838.84,56.671,55.908,7.259
3839.724,50.318,53.997,7.349
3840.608,52.315,56.536,7.718
3841.493,57,56.702,8.095
3842.377,53.648,56.075,8.164
3843.262,49.796,54.584,7.852
3844.147,53.177,54.876,7.374
3845.032,54.495,56.112,7.536
3845.918,57.288,54.788,7.929
3846.803,45.526,52.983,7.77
3847.689,53.16,53.43,7.191
3848.575,48.21,53.639,6.423
3849.462,44.784,53.346,6.191
3850.348,51.399,52.801,6.572
3851.235,55.768,52.026,7.244
3852.122,54.659,52.334,7.546
3853.009,54.852,53.818,7.105
3853.896,51.705,52.419,6.343
3854.784,52.227,51.267,5.854
3855.671,51.434,51.912,5.781
3856.559,55.15,51.987,5.752
3857.447,49.519,51.707,5.519
3858.336,46.987,52.169,5.058
3859.224,50.127,50.373,4.615
3860.113,48.223,51.392,4.34
3861.002,47.132,53.311,4.482
3861.891,49.552,50.426,5.179
3862.78,44.116,51.438,6.098
3863.67,46.57,49.88,6.461
3864.56,51.509,51.439,6.072
3865.449,44.907,52.086,5.389
3866.34,45.178,50.183,5.297
3867.23,53.616,49.695,5.793
3868.121,51.337,50.241,6.29
3869.011,40.993,52.234,6.186
3869.902,45.991,50.404,5.465
3870.793,48.968,49.548,4.579
3871.685,52.114,50.914,4.17
3872.576,44.833,50.281,4.56
3873.468,42.595,49.778,5.553
3874.36,41.827,49.778,6.55
3875.252,46.118,50.319,7.125
3876.145,48.637,50.03,6.887
3877.037,42.646,49.152,6.066
3877.93,42.636,49.642,5.132
3878.823,46.613,51.14,4.824
3879.717,47.145,48.232,4.898
3880.61,53.722,48.316,4.888
3881.504,48.313,49.861,4.713
3882.398,43.108,49.38,4.56
3883.292,44.974,48.079,4.603
3884.186,50.019,50.026,4.706
3885.08,49.33,49.023,4.655
3885.975,44.293,47.773,4.395
3886.87,50.449,48.307,4.102
3887.765,50.36,48.508,4.19
3888.66,44.91,46.552,4.62
3889.556,51.725,47.553,5.197
3890.451,46.349,47.667,5.508
3891.347,39.013,47.268,5.537
3892.243,46.016,47.331,5.361
3893.14,52.157,47.648,5.111
3894.036,44.997,47.235,5.015
3894.933,44.105,46.265,5.284
3895.83,46.815,46.757,5.939
3896.727,47.48,46.05,6.513
3897.625,46.774,46.398,6.583
3898.522,49.307,47.633,6.295
3899.42,50.096,47.02,6.054
3900.318,52.172,46.868,6.101
3901.216,50.338,45.704,6.331
3902.114,44.869,47.464,6.585
3903.013,45.527,49.415,6.998
3903.912,45.202,49.045,7.495
3904.811,52.104,47.333,8.677
3905.71,48.033,45.922,10.066
3906.609,46.335,47.937,11.13
3907.509,44.293,49.069,11.709
3908.409,50.958,49.729,11.837
3909.309,51.556,49.406,12.043
3910.209,46.641,47.442,12.344
3911.11,50.388,49.334,12.186
3912.01,47.423,49.389,11.814
3912.911,45.876,48.536,12.165
3913.812,50.606,48.416,13.029
3914.714,43.595,48.537,12.605
3915.615,45.287,47.928,11.075
3916.517,50.667,48.476,9.392
3917.419,52.902,48.865,8.424
3918.321,50.428,48.15,7.819
3919.223,46.097,47.604,7.137
3920.126,47.35,47.791,6.468
3921.029,53.116,47.872,5.803
3921.931,49.132,47.697,5.519
3922.835,48.299,48.392,5.833
3923.738,46.436,49.783,6.217
3924.642,49.004,49.4,6.349
3925.545,52.773,47.636,6.466
3926.449,51.146,47.108,6.489
3927.354,46.787,46.845,6.032
3928.258,44.287,47.257,5.323
3929.163,43.508,47.451,4.626
3930.067,48.861,46.945,4.224
3930.972,52.196,45.753,4.424
3931.878,45.438,45.119,4.894
3932.783,42.574,47.219,5.142
3933.689,47.03,46.501,5.122
3934.595,47.103,45.503,4.805
3935.501,42.344,45.986,4.42
3936.407,42.031,46.332,4.212
3937.314,46.299,45.456,4.285
3938.22,46.638,47.755,4.648
3939.127,49.548,47.867,5.348
3940.034,50.798,46.27,6.28
3940.942,48.41,45.944,7.254
3941.849,43.084,47.383,8.248
3942.757,44.361,47.944,8.607
3943.665,48.994,46.231,8.105
3944.573,50.858,47.856,7.282
3945.481,48.517,46.997,7.05
3946.39,43.226,46.139,7.429
3947.299,44.451,47.219,7.541
3948.208,48.275,47.947,6.923
3949.117,46.431,47.864,6.236
3950.026,44.656,46.729,6.2
3950.936,47.423,46.189,6.711
3951.846,44.487,46.28,7.289
3952.756,42.549,45.971,7.282
3953.666,44.064,44.741,6.536
3954.577,44.448,44.054,5.836
3955.487,48.786,45.121,5.884
3956.398,41.269,46.106,6.216
3957.309,47.302,45.897,5.956
3958.221,48.109,45.367,5.359
3959.132,43.408,45.487,5.156
3960.044,44.489,44.662,5.446
3960.956,46.408,45.766,5.965
3961.868,48.022,46.078,6.234
3962.78,48.696,46.649,5.798
3963.693,43.84,45.968,4.835
3964.606,44.476,42.723,4.042
3965.519,48.162,44.691,3.876
3966.432,42.967,43.589,4.105
3967.345,46.944,43.229,4.124
3968.259,44.089,44.553,3.749
3969.173,45.871,46.038,3.204
3970.087,48.534,46.217,2.725
3971.001,48.541,45.061,2.617
3971.915,48.157,45.544,3.143
3972.83,44.079,45.34,4.349
3973.745,43.626,44.991,5.763
3974.66,46.604,45.347,6.285
3975.575,54.021,45.473,6.026
3976.491,45.409,44.277,5.757
3977.407,46.556,45.384,6.143
3978.323,45.691,44.919,6.817
3979.239,41.61,44.453,7.283
3980.155,41.977,44.459,7.208
3981.072,44.912,43.721,6.75
3981.988,46.977,45.295,6.581
3982.905,41.904,44.101,6.605
3983.823,39.221,42.392,6.585
3984.74,41.122,43.931,6.491
3985.658,41.627,46.045,6.231
3986.576,39.42,43.944,6.167
3987.494,41.633,43.081,6.348
3988.412,42.617,43.583,6.724
3989.33,41.749,45.125,7.084
3990.249,44.689,44.562,6.995
3991.168,45.032,42.526,6.304
3992.087,44.625,42.922,5.912
3993.006,45.392,44.437,6.103
3993.926,47.968,42.173,6.357
3994.846,46.564,42.041,6.361
3995.766,47.828,42.375,6.248
3996.686,48.799,41.971,6.207
3997.606,45.984,42.537,6.312
3998.527,43.801,42.266,6.463
3999.447,44.528,42.315,6.668
4000.369,44.324,42.863,6.898
4001.29,46.232,42.837,6.872
4002.211,43.19,42.865,6.328
4003.133,44.1,44,5.795
4004.055,46.186,43.463,5.698
4004.977,43.393,41.461,6.011
4005.899,43.014,41.164,6.238
4006.822,46.615,42.151,6.375
4007.744,44.344,42.957,7.02
4008.667,38.677,42.832,8.295
4009.59,43.162,41.629,8.879
4010.514,44.07,41.298,8.391
4011.437,42.161,41.404,8.075
4012.361,43.123,41.106,8.262
4013.285,44.391,40.618,8.521
4014.209,44.098,40.799,8.51
4015.134,39.957,41.419,8.046
4016.058,43.015,41.893,7.341
4016.983,47.201,41.996,6.931
4017.908,39.24,41.606,7.189
4018.833,44.926,41.376,7.844
4019.759,46.676,41.381,8.634
4020.685,41.242,39.72,9.413
4021.61,37.767,41.708,9.6
4022.537,40.432,41.565,8.874
4023.463,44.231,40.955,8.405
4024.389,45.461,41.843,8.595
4025.316,42.063,42.513,8.746
4026.243,39.041,41.643,8.223
4027.17,43.726,39.293,7.183
4028.098,47.847,41.013,6.823
4029.025,47.8,42.29,7.144
4029.953,42.444,40.73,7.298
4030.881,41.9,40.213,7.351
4031.809,38.038,42.101,7.492
4032.738,41.925,41.646,7.428
4033.667,45.102,40.232,6.849
4034.596,43.242,40.135,6.148
4035.525,43.031,41.486,6.351
4036.454,44.07,42.034,7.201
4037.383,45.152,39.957,7.379
4038.313,44.242,40.059,7.309
4039.243,44.799,40.662,7.38
4040.173,43.187,40.921,7.462
4041.104,40.982,40.175,7.538
4042.034,40.601,38.705,8.066
4042.965,40.649,39.838,9.154
4043.896,42.064,40.633,9.936
4044.827,41.545,41.945,11.275
4045.759,36.844,41.728,16.6
4046.691,41.224,39.798,25.414
4047.622,45.568,38.825,30.556
4048.555,42.472,39.604,25.215
4049.487,43.033,41.348,16.558
4050.419,43.696,40.36,11.262
4051.352,43.796,39.853,9.374
4052.285,45.171,40.24,8.55
4053.218,46.542,39.116,7.783
4054.152,43.402,40.606,7.731
4055.085,38.855,40.86,8.316
4056.019,43.295,40.23,8.312
4056.953,39.821,39.425,7.255
4057.887,41.617,39.236,6.281
4058.822,39.738,39.951,6.986
4059.757,42.713,40.111,8.337
4060.692,42.536,40.288,8.933
4061.627,40.03,40.177,8.538
4062.562,41.133,39.854,8.108
4063.498,44.474,39.695,8.561
4064.433,42.612,39.522,9.521
4065.369,37.019,38.339,10.162
4066.305,45.669,38.913,10.061
