wavelength,flux,model,sky
3799.269,14.098,18.696,0
3800.144,14.096,18.705,0
3801.019,14.093,18.603,0
3801.894,14.091,18.406,0
3802.769,14.088,18.439,0
3803.645,14.086,18.529,0
3804.521,14.083,18.438,0
3805.397,14.081,18.326,0
3806.274,14.078,18.369,0
3807.15,14.076,18.45,0
3808.027,14.073,18.287,0
3808.904,14.071,18.173,4.84
3809.781,14.068,18.037,4.772
3810.658,15.069,17.96,4.77
3811.536,13.006,18.056,4.791
3812.414,15.553,18.143,4.753
3813.291,17.399,17.908,4.826
3814.17,17.423,17.824,4.838
3815.048,21.946,17.795,4.824
3815.926,19.731,17.754,4.798
3816.805,20.172,17.687,4.812
3817.684,20.852,17.645,4.812
3818.563,15.319,17.631,4.786
3819.443,18.289,17.363,4.742
3820.322,16.906,17.236,4.687
3821.202,11.577,17.269,4.598
3822.082,22.314,17.341,4.508
3822.962,17.89,17.339,4.309
3823.843,18.225,17.237,3.923
3824.723,19.151,17.167,3.42
3825.604,15.716,17.179,3.134
3826.485,15.313,17.087,3.398
3827.366,16.676,17.048,4.247
3828.247,14.24,17.104,5.294
3829.129,15.368,17.024,6.02
3830.011,12.898,17.075,6.389
3830.893,17.896,16.993,6.928
3831.775,19.383,16.924,7.375
3832.657,13.342,16.898,7.467
3833.54,12.755,16.905,6.969
3834.423,15.776,16.981,6.192
3835.306,14.97,16.965,5.494
3836.189,17.752,16.914,5.264
3837.072,19.288,16.883,5.478
3837.956,17.365,16.831,5.399
3838.84,14.745,16.789,5.122
3839.724,19.628,16.853,4.873
3840.608,17.536,16.822,4.922
3841.493,17.087,16.821,5.073
3842.377,20,16.858,5.111
3843.262,17.707,16.863,4.991
3844.147,15.078,16.865,4.891
3845.032,20.677,16.947,4.863
3845.918,19.591,16.885,4.721
3846.803,18.165,16.849,4.472
3847.689,16.16,16.887,4.425
3848.575,15.921,16.841,4.409
3849.462,14.674,16.736,4.589
3850.348,13.388,16.82,4.812
3851.235,14.842,16.866,4.753
3852.122,16.731,16.782,4.244
3853.009,16.449,16.765,3.559
3853.896,18.618,16.855,3.286
3854.784,15.764,16.893,3.85
3855.671,18.383,16.78,4.412
3856.559,18.035,16.874,4.578
3857.447,14.84,16.936,4.011
3858.336,16.53,16.834,3.232
3859.224,19.024,16.83,2.496
3860.113,17.558,16.96,2.091
3861.002,15.748,16.893,2.364
3861.891,17.124,16.927,3.226
3862.78,16.993,16.936,3.847
3863.67,19.066,16.876,3.935
3864.56,15.848,16.911,3.661
3865.449,17.927,17.031,3.595
3866.34,21.173,17.005,3.689
3867.23,22.118,17.029,3.865
3868.121,19.464,16.895,3.9
3869.011,16.587,16.982,3.645
3869.902,18.071,17.074,3.217
3870.793,20.13,16.96,2.838
3871.685,19.433,16.913,2.471
3872.576,19.802,16.925,2.482
3873.468,20.4,16.96,2.695
3874.36,26.248,16.977,3.058
3875.252,23.758,16.856,3.173
3876.145,20.096,16.798,3.094
3877.037,20.188,17.129,2.861
3877.93,20.434,17.081,2.597
3878.823,20.32,17.026,2.484
3879.717,15.859,17.027,2.541
3880.61,21.375,16.985,2.75
3881.504,19.425,16.915,3.018
3882.398,20.263,16.955,3.193
3883.292,17.717,17.008,3.398
3884.186,15.146,16.995,3.162
3885.08,17.28,16.996,2.627
3885.975,20.539,16.961,2.141
3886.87,19.983,16.904,1.981
3887.765,17.391,16.966,2.141
3888.66,17.237,17.011,2.326
3889.556,20.063,16.925,2.414
3890.451,21.404,16.963,2.478
3891.347,17.281,17.042,2.75
3892.243,17.821,16.991,2.926
3893.14,15.347,16.903,3.244
3894.036,13.067,16.978,3.309
3894.933,13.949,16.97,3.191
3895.83,14.789,17.014,3.135
3896.727,19.048,17.094,3.268
3897.625,16.346,17.105,3.69
3898.522,13.873,17.053,4.014
3899.42,14.885,17.033,4.008
3900.318,15.393,16.92,3.856
3901.216,14.679,16.999,3.862
3902.114,15.678,16.992,3.837
3903.013,16.918,16.876,3.647
3903.912,17.082,17.079,3.54
3904.811,18.263,16.899,3.874
3905.71,18.428,16.859,4.818
3906.609,17.839,17.041,6.014
3907.509,20.665,17.021,6.723
3908.409,18.997,16.762,6.726
3909.309,17.169,16.799,6.464
3910.209,17.907,16.884,6.185
3911.11,17.814,16.929,6.206
3912.01,16.549,16.896,6.577
3912.911,16.479,16.861,6.866
3913.812,17.459,16.901,6.593
3914.714,18.678,16.949,5.904
3915.615,18.507,16.805,5.14
3916.517,15.748,16.871,4.441
3917.419,14.647,16.859,4.363
3918.321,21.519,16.831,4.482
3919.223,21.396,16.892,4.564
3920.126,17.565,16.886,4.495
3921.029,14.136,16.906,4.272
3921.931,14.124,16.802,4.067
3922.835,19.704,16.84,3.938
3923.738,17.309,16.893,3.685
3924.642,22.885,16.833,3.166
3925.545,19.647,16.838,2.955
3926.449,16.578,16.855,3.086
3927.354,17.05,16.76,3.2
3928.258,16.12,16.867,3.059
3929.163,16.162,16.966,2.771
3930.067,16.773,16.855,2.651
3930.972,14.871,16.819,2.865
3931.878,14.75,17.019,3.115
3932.783,14.732,17.005,3.077
3933.689,17.928,16.945,2.724
3934.595,15.279,16.91,2.247
3935.501,16.448,16.947,2.007
3936.407,15.181,17.101,2.17
3937.314,15.597,16.975,2.627
3938.22,17.022,16.941,3.084
3939.127,19.116,16.98,3.42
3940.034,19.827,17.014,3.88
3940.942,13.838,17.095,4.805
3941.849,18.014,17.267,5.65
3942.757,17.016,17.22,5.559
3943.665,19.783,17.252,5.103
3944.573,15.983,17.27,4.924
3945.481,22.048,17.245,4.74
3946.39,20.355,17.282,4.43
3947.299,16.955,17.422,4.182
3948.208,19.321,17.396,4.331
3949.117,17.716,17.352,4.72
3950.026,17.016,17.293,4.715
3950.936,17.885,17.332,4.5
3951.846,16.285,17.497,4.678
3952.756,18.651,17.599,4.627
3953.666,15.92,17.565,4.2
3954.577,15.401,17.477,3.819
3955.487,18.314,17.62,3.678
3956.398,19.116,17.688,3.82
3957.309,17.735,17.624,3.96
3958.221,17.829,17.865,3.924
3959.132,18.094,17.841,3.777
3960.044,17.358,17.722,3.592
3960.956,14.875,17.65,3.61
3961.868,16.559,17.627,3.624
3962.78,17.065,17.692,3.482
3963.693,15.282,17.849,2.974
3964.606,16.686,17.677,2.537
3965.519,18.707,17.724,2.377
3966.432,19.41,17.8,2.412
3967.345,19.498,17.809,2.343
3968.259,16.695,17.812,2.095
3969.173,17.956,17.865,1.826
3970.087,17.746,17.983,1.955
3971.001,19.008,17.79,2.47
3971.915,19.449,17.691,2.942
3972.83,18.696,17.739,3.096
3973.745,17.688,17.739,3.206
3974.66,17.631,17.665,3.469
3975.575,18.244,17.717,3.939
3976.491,16.888,17.649,4.337
3977.407,14.151,17.569,4.539
3978.323,17.507,17.62,4.645
3979.239,19.453,17.682,4.532
3980.155,18.238,17.519,4.408
3981.072,19.653,17.511,4.521
3981.988,18.591,17.656,4.645
3982.905,15.896,17.692,4.531
3983.823,19.571,17.599,4.193
3984.74,23.119,17.481,3.968
3985.658,18.166,17.42,4.036
3986.576,17.064,17.508,3.817
3987.494,18.719,17.449,3.315
3988.412,19.524,17.437,3.904
3989.33,15.406,17.486,4.87
3990.249,14.477,17.519,4.945
3991.168,15.197,17.549,4.143
3992.087,16.397,17.528,3.427
3993.006,19.04,17.578,3.433
3993.926,18.599,17.483,3.881
3994.846,16.407,17.388,4.095
3995.766,20.914,17.456,3.747
3996.686,17.179,17.52,3.268
3997.606,20.358,17.442,3.359
3998.527,18.3,17.483,3.595
3999.447,18.053,17.444,3.861
4000.369,18.411,17.42,4.109
4001.29,19.069,17.521,4.195
4002.211,18.373,17.585,4.119
4003.133,18.078,17.559,4.002
4004.055,19.667,17.381,3.907
4004.977,18.701,17.446,3.773
4005.899,18.317,17.649,3.817
4006.822,15.176,17.677,4.451
4007.744,16.372,17.539,5.033
4008.667,16.032,17.597,5.415
4009.59,15.806,17.66,5.987
4010.514,15.024,17.737,6.213
