wavelength,flux,model,sky
3802.769,85.805,91.418,0
3803.645,85.781,90.547,0
3804.521,85.757,90.799,0
3805.397,85.734,90.91,14.984
3806.274,85.71,90.474,14.746
3807.15,84.692,89.36,14.51
3808.027,91.004,89.437,13.248
3808.904,88.803,91.099,13.075
3809.781,90.031,91.308,12.971
3810.658,94.596,89.53,12.891
3811.536,78.936,89.338,12.547
3812.414,82.434,88.02,12.404
3813.291,81.341,89.315,12.318
3814.17,84.28,89.303,12.199
3815.048,88.433,89.198,12.025
3815.926,88.635,90.314,11.886
3816.805,93.383,89.21,11.744
3817.684,97.32,87.378,11.513
3818.563,85.754,89.708,11.249
3819.443,72.579,89.949,11.064
3820.322,71.365,88.657,10.908
3821.202,91.481,88.88,10.497
3822.082,80.257,88.977,10.133
3822.962,75.968,87.752,9.723
3823.843,79.87,88.292,9.255
3824.723,82.739,88.664,8.818
3825.604,86.583,87.728,8.434
3826.485,82.728,87.093,8.145
3827.366,68.447,88.531,8.284
3828.247,87.163,88.007,8.989
3829.129,84.8,88.886,10.108
3830.011,82.657,88.627,11.019
3830.893,74.121,87.92,11.427
3831.775,83.054,87.891,11.445
3832.657,93.49,87.266,11.151
3833.54,92.24,88.321,10.886
3834.423,90.15,89.115,10.778
3835.306,90.699,88.123,10.758
3836.189,87.42,86.813,10.794
3837.072,84.142,86.746,10.546
3837.956,98.101,87.037,9.812
3838.84,82.297,86.454,8.508
3839.724,88.265,87.108,7.406
3840.608,88.806,86.215,7.409
3841.493,82.585,85.501,8.596
3842.377,87.952,86.272,10.319
3843.262,91.141,85.427,11.678
3844.147,82.655,84.253,12.327
3845.032,76.319,85.717,12.339
3845.918,67.915,86.561,12.944
3846.803,87.994,85.665,13.211
3847.689,90.504,84.863,13.033
3848.575,83.008,85.681,12.641
3849.462,89.529,85.223,12.173
3850.348,94.385,84.102,11.83
3851.235,85.758,84.482,11.62
3852.122,85.125,84.638,11.385
3853.009,84.795,83.24,11.028
3853.896,75.135,82.523,10.606
3854.784,86.888,82.67,10.341
3855.671,81.376,83.133,10.539
3856.559,81.629,84.161,10.841
3857.447,77.74,85.132,10.86
3858.336,77.678,84.821,10.283
3859.224,78.658,83.5,9.107
3860.113,69.377,85.016,7.891
3861.002,75.91,82.973,7.507
3861.891,87.144,83.251,8.479
3862.78,84.899,84.625,10.243
3863.67,78.349,83.627,11.373
3864.56,75.737,82.544,11.626
3865.449,84.653,83.069,10.924
3866.34,83.083,82.694,9.94
3867.23,82.021,82.735,9.379
3868.121,92.866,83.852,9.396
3869.011,87.896,84.322,9.332
3869.902,78.994,82.573,8.799
3870.793,98.801,83.305,7.858
3871.685,83.132,82.789,6.671
3872.576,76.591,84.291,6.235
3873.468,71.976,84.804,6.658
3874.36,70.385,82.927,8.202
3875.252,78.528,83.882,10.254
3876.145,88.58,83.7,11.606
3877.037,88.685,84.567,11.515
3877.93,81.911,85.037,10.179
3878.823,76.445,84.697,8.934
3879.717,76.392,83.796,8.62
3880.61,75.103,82.708,9.097
3881.504,85.373,84.176,9.188
3882.398,93.168,83.951,9.076
3883.292,87.042,83.319,9.06
3884.186,79.17,83.914,9.252
3885.08,83.133,84.615,9.537
3885.975,90.171,83.538,9.718
3886.87,86.951,85.057,9.336
3887.765,84.28,84.549,8.428
3888.66,81.198,84.825,7.756
3889.556,90.208,84.961,8.517
3890.451,76.318,83.098,10.011
3891.347,79.216,81.59,11.1
3892.243,84.993,83.251,11.44
3893.14,75.583,82.304,11.546
3894.036,76.012,82.327,12.1
3894.933,83.725,83.031,12.667
3895.83,76.263,82.939,12.056
3896.727,81.036,83.178,11.324
3897.625,78.755,81.345,12.007
3898.522,87.391,80.669,12.904
3899.42,85.427,80.419,12.599
3900.318,82.062,81.601,11.517
3901.216,82.099,82.996,11.04
3902.114,80.184,80.97,11.912
3903.013,80.109,82.194,13.163
3903.912,78.616,83.182,13.189
3904.811,78.688,81.306,12.921
3905.71,72.643,80.104,12.999
3906.609,78.67,81.417,13.757
3907.509,73.243,81.24,14.817
3908.409,69.703,80.82,14.98
3909.309,73.43,80.914,14.516
3910.209,79.44,81.124,15.968
3911.11,83.36,80.91,16.567
3912.01,80.404,80.676,17.386
3912.911,72.586,81.306,17.378
3913.812,76.135,81.242,16.917
3914.714,77.787,81.211,16.596
3915.615,79.458,80.565,15.814
3916.517,75.003,80.788,14.502
3917.419,76.803,81.641,13.782
3918.321,80.577,80.026,13.647
3919.223,76.507,79.214,13.05
3920.126,72.699,81.089,11.816
3921.029,79.065,81.906,11.048
3921.931,80.38,80.839,11.214
3922.835,74.574,79.827,10.892
3923.738,80.661,80.096,10.944
3924.642,78.187,79.52,11.001
3925.545,77.533,79.191,11.072
3926.449,81.071,80.363,10.936
3927.354,75.679,81.431,10.182
3928.258,74.757,81.361,9.066
3929.163,90.571,81.145,8.065
3930.067,80.603,78.607,7.36
3930.972,79.562,79.253,6.702
3931.878,78.102,81.035,6.14
3932.783,77.402,81.091,6.011
3933.689,79.124,79.181,5.99
3934.595,75.933,78.046,5.991
3935.501,73.006,80.234,5.864
3936.407,77.915,80.326,5.696
3937.314,80.908,80.016,5.915
3938.22,74.981,80.049,6.741
3939.127,80.458,80.193,8.57
3940.034,75.968,80.909,10.362
3940.942,73.842,81.009,11.565
3941.849,72.212,80.026,12.16
3942.757,71.693,80.02,11.846
3943.665,87.718,80.432,10.992
3944.573,85.842,80.355,10.374
3945.481,75.109,80.637,10.569
3946.39,86.669,80.435,11.625
3947.299,78.376,80.875,12.821
3948.208,72.295,80.736,13.504
3949.117,82.741,80.645,13.031
3950.026,79.255,80.779,12.885
3950.936,78.717,79.756,13.441
3951.846,80.455,80.142,13.532
3952.756,71.767,80.635,12.789
3953.666,75.125,80.928,12.002
3954.577,86.477,81.156,11.91
3955.487,78.372,80.975,12.257
3956.398,72.102,79.944,12.399
3957.309,75.213,79.783,12.713
3958.221,76.796,81.085,12.855
3959.132,82.222,81.778,13.112
3960.044,80.719,81.841,12.963
3960.956,74.638,81.495,12.194
3961.868,79.165,80.021,11.12
3962.78,84.992,79.99,10.189
3963.693,80.664,81.753,9.566
3964.606,76.589,81.91,9.08
3965.519,82.32,80.443,8.534
3966.432,81.67,79.867,7.704
3967.345,65.91,81.109,6.417
3968.259,73.664,80.212,4.989
3969.173,77.944,79.733,4.164
3970.087,80.579,80.352,4.362
3971.001,73.206,81.093,5.458
3971.915,75.096,81.631,6.981
3972.83,84.576,82.448,8.447
3973.745,74.909,81.47,9.706
3974.66,86.687,82.719,10.402
3975.575,80.423,82.916,10.868
3976.491,82.106,82.512,11.323
3977.407,79.542,83.464,12.305
3978.323,87.29,84.636,13.192
3979.239,92.348,84.475,13.756
3980.155,95.811,85.11,14.142
3981.072,94.664,86.118,14.706
3981.988,89.466,86.481,15.469
3982.905,91.316,85.451,15.622
3983.823,86.667,83.123,15.078
3984.74,93.373,81.556,14.699
3985.658,85.985,81.801,14.626
3986.576,76.316,81.996,14.541
3987.494,105.842,80.774,14.458
3988.412,96.064,79.006,13.92
3989.33,91.509,78.707,13.648
3990.249,97.298,78.163,13.481
3991.168,79.759,76.757,13.725
3992.087,82.777,78.038,14.269
3993.006,83.001,78.9,14.251
3993.926,81.073,77.551,13.866
3994.846,76.072,78.295,14.091
3995.766,74.571,77.223,14.363
3996.686,80.077,76.845,13.981
3997.606,71.81,76.842,13.52
3998.527,78.585,77.896,13.736
3999.447,88.081,79.183,14.609
4000.369,73.114,77.886,15.389
4001.29,71.242,77.433,15.16
4002.211,81.275,77.955,14.604
4003.133,75.554,77.527,14.318
4004.055,77.384,77.308,14.596
4004.977,76.971,78.134,14.335
4005.899,77.274,78.237,13.925
4006.822,71.261,78.83,13.74
4007.744,72.37,78.732,14.159
4008.667,79.268,78.159,14.893
4009.59,82.685,77.265,16.37
4010.514,85.294,76.394,17.368
4011.437,71.733,76.34,17.433
4012.361,82.95,76.871,16.608
4013.285,81.187,77.326,17.287
4014.209,83.073,76.502,16.661
4015.134,87.247,75.978,15.922
4016.058,84.475,76.592,15.205
