wavelength,flux,model,sky
3799.269,18.695,27.794,0
3800.144,18.696,27.99,0
3801.019,18.698,27.318,0
3801.894,18.699,26.545,0
3802.769,18.7,26.536,0
3803.645,18.702,26.534,0
3804.521,18.703,25.487,0
3805.397,18.705,24.739,0
3806.274,18.706,25.294,9.091
3807.15,18.707,26.311,8.669
3808.027,21.169,26.407,9.177
3808.904,24.543,26.002,9.435
3809.781,23.257,25.963,9.569
3810.658,21.752,25.531,9.659
3811.536,27.211,25.974,9.559
3812.414,25.057,26.654,9.45
3813.291,24.399,26.598,9.283
3814.17,27.87,27.308,9.061
3815.048,26.933,24.253,8.822
3815.926,23.182,25.143,8.572
3816.805,23.627,25.55,8.221
3817.684,23.385,24.308,7.907
3818.563,24.439,24.889,7.577
3819.443,30.623,26.184,7.319
3820.322,26.365,27.03,7.042
3821.202,25.877,26.28,6.818
3822.082,25.429,26.152,6.671
3822.962,20.348,26.515,6.567
3823.843,23.967,25.99,6.496
3824.723,34.017,26.23,6.52
3825.604,26.241,26.483,6.606
3826.485,29.975,25.487,6.833
3827.366,24.655,25.835,7.154
3828.247,20.849,26.603,7.609
3829.129,25.598,25.674,8.202
3830.011,29.622,25.815,8.916
3830.893,27.865,24.825,9.809
3831.775,24.701,26.027,11.001
3832.657,24.085,26.245,12.188
3833.54,26.822,24.616,12.018
3834.423,26.348,24.404,10.326
3835.306,26.102,27.04,9.008
3836.189,29.035,26.08,9.074
3837.072,26.132,24.873,9.465
3837.956,26.169,24.698,9.058
3838.84,32.092,25.726,7.875
3839.724,33.615,26.73,6.656
3840.608,26.719,24.878,6.244
3841.493,21.453,24.574,6.992
3842.377,22.741,25.804,8.287
3843.262,21.517,25.012,8.977
3844.147,24.679,23.697,8.568
3845.032,26.6,24.69,7.866
3845.918,27.363,24.286,7.662
3846.803,29.35,24.62,7.976
3847.689,27.709,24.671,8.311
3848.575,24.049,24.493,8.556
3849.462,27.944,24.553,8.905
3850.348,23.408,24.845,9.216
3851.235,24.809,24.948,9.189
3852.122,25.97,25.667,8.438
3853.009,26.829,25.681,7.365
3853.896,25.986,24.466,6.558
3854.784,26.349,23.581,6.599
3855.671,26.997,24.394,7.201
3856.559,25.451,25.122,7.669
3857.447,24.896,25.358,7.46
3858.336,25.661,24.296,6.589
